CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Tenure_raw,WarehouseToHome_raw,HourSpendOnApp_raw,NumberOfDeviceRegistered_raw,SatisfactionScore_raw,NumberOfAddress_raw,Complain_raw,OrderAmountHikeFromlastYear_raw,CouponUsed_raw,OrderCount_raw,DaySinceLastOrder_raw,CashbackAmount_raw
50001,1,0.06557377049180328,-1,-1,0.00819672131147541,0,1,0.6,0.4,0,0.25,0,0.38095238095238093,1.0,0.0,0.0625,0.0,0.10869565217391304,0.4920923076923077,4.0,6.0,3.0,3,2,9,1,11.0,1.0,1.0,5.0,159.93
50002,1,0.3114754098360656,0,-1,0.02459016393442623,2,0,0.6,0.6,1,0.5,0,0.2857142857142857,1.0,0.26666666666666666,0.0,0.0,0.0,0.372,19.0,8.0,3.0,4,3,7,1,15.0,0.0,1.0,0.0,120.9
50003,1,0.3114754098360656,0,-1,0.20491803278688525,0,0,0.4,0.6,1,0.5,0,0.23809523809523808,1.0,0.2,0.0,0.0,0.06521739130434782,0.3700923076923077,19.0,30.0,2.0,4,3,6,1,14.0,0.0,1.0,3.0,120.28
50004,1,0.0,0,-1,0.08196721311475409,0,0,0.4,0.6,0,1.0,0,0.3333333333333333,0.0,0.8,0.0,0.0,0.06521739130434782,0.4125230769230769,0.0,15.0,2.0,4,5,8,0,23.0,0.0,1.0,3.0,134.07
50005,1,0.0,0,-1,0.05737704918032787,1,0,0.6,0.4,1,1.0,0,0.09523809523809523,0.0,0.0,0.0625,0.0,0.06521739130434782,0.39876923076923076,0.0,12.0,3.0,3,5,3,0,11.0,1.0,1.0,3.0,129.6
50006,1,0.0,1,-1,0.13934426229508196,0,1,0.6,0.8,1,1.0,0,0.047619047619047616,1.0,0.7333333333333333,0.25,0.3333333333333333,0.15217391304347827,0.42827692307692306,0.0,22.0,3.0,5,5,2,1,22.0,4.0,6.0,7.0,139.19
50007,1,0.3114754098360656,0,-1,0.04918032786885246,3,0,0.4,0.4,0,0.25,2,0.14285714285714285,0.0,0.2,0.0,0.0,0.0,0.37187692307692305,19.0,11.0,2.0,3,2,4,0,14.0,0.0,1.0,0.0,120.86
50008,1,0.3114754098360656,0,-1,0.00819672131147541,1,0,0.6,0.4,1,0.25,2,0.09523809523809523,1.0,0.3333333333333333,0.125,0.06666666666666667,0.0,0.37824615384615384,19.0,6.0,3.0,3,2,3,1,16.0,2.0,2.0,0.0,122.93
50009,1,0.21311475409836064,0,-1,0.03278688524590164,4,0,0.6,0.6,1,0.5,2,0.047619047619047616,1.0,0.2,0.0,0.0,0.043478260869565216,0.39024615384615385,13.0,9.0,3.0,4,3,2,1,14.0,0.0,1.0,2.0,126.83
50010,1,0.3114754098360656,0,-1,0.21311475409836064,0,0,0.4,0.8,1,0.5,0,0.047619047619047616,0.0,0.06666666666666667,0.0625,0.0,0.021739130434782608,0.37824615384615384,19.0,31.0,2.0,5,3,2,0,12.0,1.0,1.0,1.0,122.93
