Cluster,Persona,Churn,Tenure,SatisfactionScore,OrderCount,CouponUsed,CashbackAmount,DaySinceLastOrder,HourSpendOnApp,Complain,OrderAmountHikeFromlastYear
0,High Churn Risk,1,4.0,2,1.0,1.0,159.93,5.0,3.0,1,11.0
0,High Churn Risk,1,9.0,3,1.0,0.0,120.9,0.0,3.0,1,15.0
0,High Churn Risk,1,9.0,3,1.0,0.0,120.28,3.0,2.0,1,14.0
1,Premium Customers,1,0.0,5,1.0,0.0,134.07,3.0,2.0,0,23.0
1,Premium Customers,1,0.0,5,1.0,1.0,129.6,3.0,3.0,0,11.0
0,High Churn Risk,1,0.0,5,6.0,4.0,139.19,7.0,3.0,1,22.0
1,Premium Customers,1,9.0,2,1.0,0.0,120.86000000000001,0.0,2.0,0,14.0
0,High Churn Risk,1,9.0,2,2.0,2.0,122.93,0.0,3.0,1,16.0
0,High Churn Risk,1,13.0,3,1.0,0.0,126.83000000000001,2.0,3.0,1,14.0
1,Premium Customers,1,9.0,3,1.0,1.0,122.93,1.0,2.0,0,12.0
3,Discount Seekers,1,4.0,3,15.0,9.0,295.45,8.0,2.0,0,15.0
0,High Churn Risk,1,11.0,3,1.0,0.0,153.81,0.0,3.0,1,13.0
0,High Churn Risk,1,0.0,3,2.0,2.0,134.41,2.0,2.0,1,13.0
0,High Churn Risk,1,0.0,3,1.0,0.0,133.88,0.0,3.0,1,17.0
1,Premium Customers,1,9.0,2,4.0,0.0,196.19,7.0,3.0,0,16.0
0,High Churn Risk,1,9.0,5,1.0,1.0,120.72999999999999,2.0,3.0,1,22.0
0,High Churn Risk,1,0.0,2,1.0,1.0,129.26,0.0,3.0,1,18.0
0,High Churn Risk,1,0.0,3,1.0,1.0,157.44,3.0,2.0,1,11.0
0,High Churn Risk,1,0.0,3,1.0,1.0,160.74,6.0,3.0,1,24.0
0,High Churn Risk,1,19.0,4,4.0,1.0,149.63,3.0,3.0,1,18.0
3,Discount Seekers,1,0.0,3,7.0,6.0,161.72,7.0,3.0,1,18.0
3,Discount Seekers,1,20.0,2,15.0,11.0,203.12,6.0,3.0,0,12.0
0,High Churn Risk,1,9.0,3,1.0,0.0,116.75,0.0,2.0,1,19.0
0,High Churn Risk,1,0.0,3,2.0,1.0,145.59,2.0,3.0,1,11.0
1,Premium Customers,1,14.0,2,1.0,0.0,206.5,3.0,2.0,0,15.0
1,Premium Customers,1,0.0,5,1.0,1.0,142.0,4.0,2.0,0,22.0
1,Premium Customers,0,8.0,4,1.0,1.0,172.95,6.0,3.0,0,13.0
0,High Churn Risk,0,9.0,3,4.0,0.0,123.06,5.0,2.0,1,20.0
1,Premium Customers,0,18.0,4,1.0,1.0,123.47999999999999,15.0,2.0,0,18.0
1,Premium Customers,0,5.0,2,3.0,2.0,189.98,7.0,2.0,0,14.0
1,Premium Customers,0,2.0,3,1.0,0.0,143.19,9.0,2.0,0,13.0
1,Premium Customers,0,0.0,3,1.0,1.0,161.32,0.0,2.0,0,17.0
0,High Churn Risk,0,30.0,4,1.0,1.0,133.46,0.0,3.0,1,20.0
2,Loyal Customers,0,13.0,2,2.0,2.0,208.55,11.0,3.0,0,11.0
1,Premium Customers,0,9.0,3,1.0,1.0,122.31,2.0,3.0,0,18.0
1,Premium Customers,0,0.0,2,2.0,0.0,123.22999999999999,2.0,3.0,0,24.0
1,Premium Customers,0,9.0,4,2.0,0.0,120.24000000000001,2.0,2.0,0,18.0
1,Premium Customers,0,1.0,2,1.0,0.0,127.13,2.0,3.0,0,11.0
2,Loyal Customers,0,30.0,2,1.0,1.0,194.39,4.0,2.0,1,16.0
0,High Churn Risk,0,0.0,3,1.0,0.0,125.66,1.0,3.0,1,15.0
2,Loyal Customers,0,23.0,4,4.0,2.0,299.26,4.0,2.0,0,15.0
1,Premium Customers,0,14.0,3,1.0,1.0,124.50999999999999,8.0,2.0,0,12.0
1,Premium Customers,0,3.0,2,7.0,2.0,194.19,4.0,2.0,0,12.0
1,Premium Customers,0,11.0,2,1.0,1.0,186.86,1.0,2.0,0,22.0
1,Premium Customers,0,5.0,3,1.0,0.0,130.38,4.0,3.0,0,20.0
0,High Churn Risk,0,0.0,4,1.0,1.0,130.58,1.0,3.0,1,16.0
1,Premium Customers,1,0.0,5,1.0,1.0,123.25,0.0,3.0,0,21.0
1,Premium Customers,0,9.0,4,7.0,4.0,120.88,2.0,1.0,0,12.0
1,Premium Customers,0,3.0,5,6.0,0.0,130.72,10.0,3.0,0,11.0
0,High Churn Risk,0,18.0,5,1.0,0.0,150.06,3.0,1.0,1,11.0
0,High Churn Risk,0,29.0,5,2.0,1.0,142.57,2.0,3.0,1,18.0
1,Premium Customers,0,6.0,2,1.0,0.0,125.0,2.0,2.0,0,14.0
1,Premium Customers,1,0.0,2,1.0,0.0,111.02000000000001,0.0,2.0,0,22.0
3,Discount Seekers,0,19.0,5,15.0,4.0,204.53,7.0,3.0,0,25.0
1,Premium Customers,0,9.0,2,2.0,1.0,122.88,1.0,3.0,0,12.0
0,High Churn Risk,0,4.0,2,1.0,1.0,139.29,2.0,3.0,1,23.0
1,Premium Customers,0,9.0,4,1.0,1.0,123.11000000000001,2.0,3.0,0,15.0
0,High Churn Risk,1,4.0,4,1.0,0.0,131.4,2.0,3.0,1,22.0
1,Premium Customers,0,23.0,3,1.0,0.0,136.9,2.0,2.0,0,15.0
1,Premium Customers,0,26.0,5,1.0,1.0,144.5,3.0,2.0,0,11.0
1,Premium Customers,0,6.0,4,1.0,0.0,127.56,6.0,3.0,0,13.0
2,Loyal Customers,0,13.0,3,9.0,1.0,290.33,9.0,2.0,0,14.0
2,Loyal Customers,0,28.0,4,2.0,1.0,287.22,15.0,3.0,0,11.0
1,Premium Customers,0,7.0,3,1.0,0.0,195.47,9.0,2.0,0,17.0
2,Loyal Customers,0,24.0,4,2.0,0.0,237.33999999999997,0.0,3.0,0,18.0
2,Loyal Customers,0,25.0,3,11.0,1.0,299.99,9.0,3.0,0,15.0
1,Premium Customers,0,9.0,4,1.0,1.0,122.78999999999999,3.0,2.0,0,16.0
0,High Churn Risk,1,0.0,3,1.0,1.0,159.16,1.0,2.0,1,13.0
1,Premium Customers,0,9.0,2,2.0,0.0,120.88999999999999,2.0,2.0,0,14.0
3,Discount Seekers,0,18.0,2,11.0,1.0,267.92,8.0,3.0,0,23.0
0,High Churn Risk,0,10.0,5,1.0,0.0,135.64,7.0,3.0,1,12.0
1,Premium Customers,0,8.0,4,1.0,1.0,144.25,2.0,2.0,0,11.0
1,Premium Customers,0,15.0,3,1.0,0.0,152.65,2.0,2.0,0,16.0
1,Premium Customers,0,11.0,3,1.0,0.0,165.53,0.0,2.0,0,14.0
1,Premium Customers,0,11.0,2,1.0,0.0,162.61,7.0,2.0,0,18.0
1,Premium Customers,0,0.0,5,2.0,0.0,142.98,0.0,2.0,0,19.0
0,High Churn Risk,0,22.0,2,1.0,0.0,168.04,7.0,3.0,1,15.0
0,High Churn Risk,0,7.0,3,2.0,2.0,138.15,0.0,2.0,1,17.0
0,High Churn Risk,0,13.0,2,3.0,1.0,127.41,7.0,3.0,1,15.0
0,High Churn Risk,1,1.0,5,1.0,0.0,166.73,0.0,3.0,1,19.0
1,Premium Customers,1,0.0,2,1.0,1.0,176.39,9.0,2.0,0,22.0
0,High Churn Risk,0,0.0,4,2.0,0.0,123.28,2.0,2.0,1,16.0
1,Premium Customers,0,9.0,2,1.0,1.0,121.53,7.0,3.0,0,13.0
1,Premium Customers,0,13.0,2,1.0,1.0,148.76,2.0,3.0,0,14.0
1,Premium Customers,0,19.0,5,1.0,0.0,193.96,3.0,3.0,0,16.0
3,Discount Seekers,1,0.0,2,9.0,7.0,204.0,8.0,2.0,0,11.0
1,Premium Customers,0,3.0,3,5.0,2.0,184.74,8.0,2.0,0,22.0
1,Premium Customers,0,0.0,3,1.0,1.0,199.81,7.0,2.0,0,14.0
2,Loyal Customers,0,24.0,4,4.0,1.0,224.89999999999998,3.0,2.0,0,16.0
0,High Churn Risk,1,0.0,5,1.0,1.0,126.57,4.0,2.0,1,11.0
0,High Churn Risk,0,14.0,2,2.0,0.0,235.91000000000003,0.0,3.0,1,18.0
1,Premium Customers,1,0.0,5,1.0,0.0,166.96,1.0,2.0,0,15.0
1,Premium Customers,1,9.0,3,1.0,0.0,120.58000000000001,5.0,2.0,0,14.0
